1.1	(   1.146642e+00   0.000000e+00 -4.792819e+00) (   5.733208e+00   0.000000e+00 -5.129774e+00) (   1.146642e+01   0.000000e+00 -5.227273e+00) (   1.719963e+01   0.000000e+00 -1.214033e+00) (   2.293283e+01   0.000000e+00 -1.879555e+00) 
1.2	(   1.146642e+00   0.000000e+00 -4.792271e+00) (   5.733208e+00   0.000000e+00 -5.129036e+00) (   1.146642e+01   0.000000e+00 -5.227133e+00) (   1.719963e+01   0.000000e+00 -1.214080e+00) (   2.293283e+01   0.000000e+00 -1.881339e+00) 
1.3	(   1.146642e+00   0.000000e+00 -4.792511e+00) (   5.733208e+00   0.000000e+00 -5.128285e+00) (   1.146642e+01   0.000000e+00 -5.226972e+00) (   1.719963e+01   0.000000e+00 -1.214137e+00) (   2.293283e+01   0.000000e+00 -1.870955e+00) 
1.4	(   1.146642e+00   0.000000e+00 -4.793739e+00) (   5.733208e+00   0.000000e+00 -5.127551e+00) (   1.146642e+01   0.000000e+00 -5.226790e+00) (   1.719963e+01   0.000000e+00 -1.214204e+00) (   2.293283e+01   0.000000e+00 -1.848630e+00) 
1.5	(   1.146642e+00   0.000000e+00 -4.796081e+00) (   5.733208e+00   0.000000e+00 -5.126876e+00) (   1.146642e+01   0.000000e+00 -5.226590e+00) (   1.719963e+01   0.000000e+00 -1.214282e+00) (   2.293283e+01   0.000000e+00 -1.819008e+00) 
1.6	(   1.146642e+00   0.000000e+00 -4.799575e+00) (   5.733208e+00   0.000000e+00 -5.126309e+00) (   1.146642e+01   0.000000e+00 -5.226373e+00) (   1.719963e+01   0.000000e+00 -1.214371e+00) (   2.293283e+01   0.000000e+00 -1.779977e+00) 
1.7	(   1.146642e+00   0.000000e+00 -4.804129e+00) (   5.733208e+00   0.000000e+00 -5.125912e+00) (   1.146642e+01   0.000000e+00 -5.226146e+00) (   1.719963e+01   0.000000e+00 -1.214470e+00) (   2.293283e+01   0.000000e+00 -1.737586e+00) 
1.8	(   1.146642e+00   0.000000e+00 -4.809504e+00) (   5.733208e+00   0.000000e+00 -5.125747e+00) (   1.146642e+01   0.000000e+00 -5.225914e+00) (   1.719963e+01   0.000000e+00 -1.214581e+00) (   2.293283e+01   0.000000e+00 -1.694520e+00) 
1.9	(   1.146642e+00   0.000000e+00 -4.815293e+00) (   5.733208e+00   0.000000e+00 -5.125870e+00) (   1.146642e+01   0.000000e+00 -5.225686e+00) (   1.719963e+01   0.000000e+00 -1.214699e+00) (   2.293283e+01   0.000000e+00 -1.658311e+00) 
2	(   1.146642e+00   0.000000e+00 -4.821029e+00) (   5.733208e+00   0.000000e+00 -5.126331e+00) (   1.146642e+01   0.000000e+00 -5.225469e+00) (   1.719963e+01   0.000000e+00 -1.214822e+00) (   2.293283e+01   0.000000e+00 -1.654454e+00) 
2.1	(   1.146642e+00   0.000000e+00 -4.826241e+00) (   5.733208e+00   0.000000e+00 -5.127192e+00) (   1.146642e+01   0.000000e+00 -5.225276e+00) (   1.719963e+01   0.000000e+00 -1.214945e+00) (   2.293283e+01   0.000000e+00 -1.651112e+00) 
2.2	(   1.146642e+00   0.000000e+00 -4.830528e+00) (   5.733208e+00   0.000000e+00 -5.128512e+00) (   1.146642e+01   0.000000e+00 -5.225120e+00) (   1.719963e+01   0.000000e+00 -1.215063e+00) (   2.293283e+01   0.000000e+00 -1.648429e+00) 
2.3	(   1.146642e+00   0.000000e+00 -4.833531e+00) (   5.733208e+00   0.000000e+00 -5.130335e+00) (   1.146642e+01   0.000000e+00 -5.225019e+00) (   1.719963e+01   0.000000e+00 -1.215170e+00) (   2.293283e+01   0.000000e+00 -1.646525e+00) 
2.4	(   1.146642e+00   0.000000e+00 -4.834917e+00) (   5.733208e+00   0.000000e+00 -5.132684e+00) (   1.146642e+01   0.000000e+00 -5.224988e+00) (   1.719963e+01   0.000000e+00 -1.215263e+00) (   2.293283e+01   0.000000e+00 -1.644581e+00) 
2.5	(   1.146642e+00   0.000000e+00 -4.834401e+00) (   5.733208e+00   0.000000e+00 -5.135553e+00) (   1.146642e+01   0.000000e+00 -5.225048e+00) (   1.719963e+01   0.000000e+00 -1.215336e+00) (   2.293283e+01   0.000000e+00 -1.652247e+00) 
2.6	(   1.146642e+00   0.000000e+00 -4.831791e+00) (   5.733208e+00   0.000000e+00 -5.138901e+00) (   1.146642e+01   0.000000e+00 -5.225214e+00) (   1.719963e+01   0.000000e+00 -1.215384e+00) (   2.293283e+01   0.000000e+00 -1.651629e+00) 
2.7	(   1.146642e+00   0.000000e+00 -4.827108e+00) (   5.733208e+00   0.000000e+00 -5.142659e+00) (   1.146642e+01   0.000000e+00 -5.225507e+00) (   1.719963e+01   0.000000e+00 -1.215399e+00) (   2.293283e+01   0.000000e+00 -1.652176e+00) 
2.8	(   1.146642e+00   0.000000e+00 -4.820568e+00) (   5.733208e+00   0.000000e+00 -5.146741e+00) (   1.146642e+01   0.000000e+00 -5.225946e+00) (   1.719963e+01   0.000000e+00 -1.215373e+00) (   2.293283e+01   0.000000e+00 -1.654679e+00) 
2.9	(   1.146642e+00   0.000000e+00 -4.812477e+00) (   5.733208e+00   0.000000e+00 -5.151014e+00) (   1.146642e+01   0.000000e+00 -5.226548e+00) (   1.719963e+01   0.000000e+00 -1.215297e+00) (   2.293283e+01   0.000000e+00 -1.655933e+00) 
3	(   1.146642e+00   0.000000e+00 -4.803216e+00) (   5.733208e+00   0.000000e+00 -5.155285e+00) (   1.146642e+01   0.000000e+00 -5.227325e+00) (   1.719963e+01   0.000000e+00 -1.215160e+00) (   2.293283e+01   0.000000e+00 -1.656968e+00) 
3.1	(   1.146642e+00   0.000000e+00 -4.793319e+00) (   5.733208e+00   0.000000e+00 -5.159333e+00) (   1.146642e+01   0.000000e+00 -5.228288e+00) (   1.719963e+01   0.000000e+00 -1.214953e+00) (   2.293283e+01   0.000000e+00 -1.657932e+00) 
3.2	(   1.146642e+00   0.000000e+00 -4.783444e+00) (   5.733208e+00   0.000000e+00 -5.162930e+00) (   1.146642e+01   0.000000e+00 -5.229446e+00) (   1.719963e+01   0.000000e+00 -1.214672e+00) (   2.293283e+01   0.000000e+00 -1.659002e+00) 
3.3	(   1.146642e+00   0.000000e+00 -4.774135e+00) (   5.733208e+00   0.000000e+00 -5.165786e+00) (   1.146642e+01   0.000000e+00 -5.230795e+00) (   1.719963e+01   0.000000e+00 -1.214318e+00) (   2.293283e+01   0.000000e+00 -1.659926e+00) 
3.4	(   1.146642e+00   0.000000e+00 -4.765740e+00) (   5.733208e+00   0.000000e+00 -5.167563e+00) (   1.146642e+01   0.000000e+00 -5.232322e+00) (   1.719963e+01   0.000000e+00 -1.213901e+00) (   2.293283e+01   0.000000e+00 -1.661340e+00) 
3.5	(   1.146642e+00   0.000000e+00 -4.758844e+00) (   5.733208e+00   0.000000e+00 -5.167985e+00) (   1.146642e+01   0.000000e+00 -5.234010e+00) (   1.719963e+01   0.000000e+00 -1.213443e+00) (   2.293283e+01   0.000000e+00 -1.661726e+00) 
3.6	(   1.146642e+00   0.000000e+00 -4.754041e+00) (   5.733208e+00   0.000000e+00 -5.166826e+00) (   1.146642e+01   0.000000e+00 -5.235833e+00) (   1.719963e+01   0.000000e+00 -1.212978e+00) (   2.293283e+01   0.000000e+00 -1.661906e+00) 
3.7	(   1.146642e+00   0.000000e+00 -4.751727e+00) (   5.733208e+00   0.000000e+00 -5.163879e+00) (   1.146642e+01   0.000000e+00 -5.237754e+00) (   1.719963e+01   0.000000e+00 -1.212558e+00) (   2.293283e+01   0.000000e+00 -1.661890e+00) 
3.8	(   1.146642e+00   0.000000e+00 -4.752084e+00) (   5.733208e+00   0.000000e+00 -5.158990e+00) (   1.146642e+01   0.000000e+00 -5.239719e+00) (   1.719963e+01   0.000000e+00 -1.212243e+00) (   2.293283e+01   0.000000e+00 -1.660963e+00) 
3.9	(   1.146642e+00   0.000000e+00 -4.755203e+00) (   5.733208e+00   0.000000e+00 -5.152124e+00) (   1.146642e+01   0.000000e+00 -5.241667e+00) (   1.719963e+01   0.000000e+00 -1.212101e+00) (   2.293283e+01   0.000000e+00 -1.660616e+00) 
4	(   1.146642e+00   0.000000e+00 -4.761221e+00) (   5.733208e+00   0.000000e+00 -5.143435e+00) (   1.146642e+01   0.000000e+00 -5.243528e+00) (   1.719963e+01   0.000000e+00 -1.212198e+00) (   2.293283e+01   0.000000e+00 -1.660069e+00) 
4.1	(   1.146642e+00   0.000000e+00 -4.770045e+00) (   5.733208e+00   0.000000e+00 -5.133203e+00) (   1.146642e+01   0.000000e+00 -5.245226e+00) (   1.719963e+01   0.000000e+00 -1.212586e+00) (   2.293283e+01   0.000000e+00 -1.659225e+00) 
4.2	(   1.146642e+00   0.000000e+00 -4.781344e+00) (   5.733208e+00   0.000000e+00 -5.121826e+00) (   1.146642e+01   0.000000e+00 -5.246672e+00) (   1.719963e+01   0.000000e+00 -1.213290e+00) (   2.293283e+01   0.000000e+00 -1.658027e+00) 
4.3	(   1.146642e+00   0.000000e+00 -4.794686e+00) (   5.733208e+00   0.000000e+00 -5.109867e+00) (   1.146642e+01   0.000000e+00 -5.247774e+00) (   1.719963e+01   0.000000e+00 -1.214298e+00) (   2.293283e+01   0.000000e+00 -1.656561e+00) 
4.4	(   1.146642e+00   0.000000e+00 -4.809385e+00) (   5.733208e+00   0.000000e+00 -5.097996e+00) (   1.146642e+01   0.000000e+00 -5.248440e+00) (   1.719963e+01   0.000000e+00 -1.215552e+00) (   2.293283e+01   0.000000e+00 -1.654975e+00) 
4.5	(   1.146642e+00   0.000000e+00 -4.824787e+00) (   5.733208e+00   0.000000e+00 -5.087029e+00) (   1.146642e+01   0.000000e+00 -5.248585e+00) (   1.719963e+01   0.000000e+00 -1.216957e+00) (   2.293283e+01   0.000000e+00 -1.653461e+00) 
4.6	(   1.146642e+00   0.000000e+00 -4.840215e+00) (   5.733208e+00   0.000000e+00 -5.077721e+00) (   1.146642e+01   0.000000e+00 -5.248136e+00) (   1.719963e+01   0.000000e+00 -1.218379e+00) (   2.293283e+01   0.000000e+00 -1.652274e+00) 
4.7	(   1.146642e+00   0.000000e+00 -4.854508e+00) (   5.733208e+00   0.000000e+00 -5.070803e+00) (   1.146642e+01   0.000000e+00 -5.247027e+00) (   1.719963e+01   0.000000e+00 -1.219682e+00) (   2.293283e+01   0.000000e+00 -1.651577e+00) 
