*************************Generated by extractQP.sh*************************
*      Wed Jan  8 12:38:23 MST 2025. Case: 
* Note: Outputs can be visualized with plotQP.py
***************************************************************************
Time(s) p0(Pa) p1(Pa) Q(m3/s)
0.83 -1.598859e+02 -4.406774e+01 -2.228351e-01
0.84 -1.599398e+02 -4.417125e+01 -2.227233e-01
0.85 -1.599436e+02 -4.417973e+01 -2.227067e-01
0.86 -1.597450e+02 -4.407120e+01 -2.225473e-01
0.87 -1.594874e+02 -4.394392e+01 -2.223122e-01
0.88 -1.593208e+02 -4.388452e+01 -2.221054e-01
0.89 -1.592833e+02 -4.392139e+01 -2.219403e-01
0.9 -1.588933e+02 -4.370263e+01 -2.216209e-01
0.91 -1.586868e+02 -4.366170e+01 -2.213140e-01
0.92 -1.583704e+02 -4.352986e+01 -2.209649e-01
0.93 -1.580573e+02 -4.339806e+01 -2.205699e-01
0.94 -1.576175e+02 -4.322550e+01 -2.201268e-01
0.95 -1.574117e+02 -4.318787e+01 -2.197712e-01
0.96 -1.571072e+02 -4.311336e+01 -2.193423e-01
0.97 -1.566867e+02 -4.292834e+01 -2.188805e-01
0.98 -1.562464e+02 -4.273044e+01 -2.184114e-01
0.99 -1.558093e+02 -4.254382e+01 -2.179431e-01
1 -1.555601e+02 -4.248765e+01 -2.175683e-01
1.01 -1.552118e+02 -4.237599e+01 -2.170800e-01
1.02 -1.543420e+02 -4.192257e+01 -2.163443e-01
1.03 -1.541100e+02 -4.194148e+01 -2.158108e-01
1.04 -1.536379e+02 -4.177343e+01 -2.152514e-01
1.05 -1.530919e+02 -4.155228e+01 -2.146303e-01
1.06 -1.526397e+02 -4.140157e+01 -2.140191e-01
1.07 -1.518566e+02 -4.103187e+01 -2.132325e-01
1.08 -1.511370e+02 -4.071071e+01 -2.124519e-01
1.09 -1.508731e+02 -4.077803e+01 -2.118939e-01
1.1 -1.504916e+02 -4.063727e+01 -2.113536e-01
1.11 -1.497258e+02 -4.030490e+01 -2.105522e-01
1.12 -1.490061e+02 -3.999616e+01 -2.097320e-01
1.13 -1.483656e+02 -3.975312e+01 -2.089943e-01
1.14 -1.477418e+02 -3.949129e+01 -2.082881e-01
1.15 -1.468067e+02 -3.906583e+01 -2.073600e-01
1.16 -1.461510e+02 -3.886700e+01 -2.064546e-01
1.17 -1.454811e+02 -3.862475e+01 -2.055946e-01
1.18 -1.449707e+02 -3.850915e+01 -2.048175e-01
1.19 -1.441823e+02 -3.821249e+01 -2.039411e-01
1.2 -1.432993e+02 -3.786184e+01 -2.029474e-01
1.21 -1.425586e+02 -3.760503e+01 -2.019948e-01
1.22 -1.416720e+02 -3.721687e+01 -2.010163e-01
1.23 -1.405780e+02 -3.674241e+01 -1.998129e-01
1.24 -1.397582e+02 -3.651763e+01 -1.986720e-01
1.25 -1.388995e+02 -3.620294e+01 -1.975922e-01
1.26 -1.378334e+02 -3.578739e+01 -1.964444e-01
1.27 -1.369251e+02 -3.547044e+01 -1.952955e-01
1.28 -1.357765e+02 -3.490770e+01 -1.940212e-01
1.29 -1.350079e+02 -3.491110e+01 -1.928847e-01
1.3 -1.339360e+02 -3.440121e+01 -1.916192e-01
1.31 -1.323957e+02 -3.359179e+01 -1.901496e-01
1.32 -1.317401e+02 -3.355904e+01 -1.889450e-01
1.33 -1.307273e+02 -3.322094e+01 -1.876512e-01
1.34 -1.297217e+02 -3.287562e+01 -1.863888e-01
1.35 -1.284337e+02 -3.241211e+01 -1.849021e-01
1.36 -1.271790e+02 -3.194694e+01 -1.833771e-01
1.37 -1.259393e+02 -3.152396e+01 -1.818155e-01
1.38 -1.245930e+02 -3.103441e+01 -1.801894e-01
1.39 -1.233046e+02 -3.060431e+01 -1.785406e-01
1.4 -1.219246e+02 -3.010961e+01 -1.768408e-01
1.41 -1.205964e+02 -2.962157e+01 -1.750962e-01
1.42 -1.191980e+02 -2.918322e+01 -1.733385e-01
1.43 -1.177105e+02 -2.867982e+01 -1.715090e-01
1.44 -1.166741e+02 -2.855111e+01 -1.697148e-01
1.45 -1.146677e+02 -2.759186e+01 -1.675959e-01
1.46 -1.132021e+02 -2.729499e+01 -1.656113e-01
1.47 -1.116259e+02 -2.664700e+01 -1.636274e-01
1.48 -1.100136e+02 -2.611551e+01 -1.615850e-01
1.49 -1.084116e+02 -2.555857e+01 -1.594866e-01
1.5 -1.067577e+02 -2.504026e+01 -1.573656e-01
1.51 -1.050049e+02 -2.448364e+01 -1.551974e-01
1.52 -1.033998e+02 -2.392540e+01 -1.529707e-01
1.53 -1.017079e+02 -2.345588e+01 -1.507440e-01
1.54 -9.998024e+01 -2.289160e+01 -1.484684e-01
1.55 -9.818780e+01 -2.232509e+01 -1.461316e-01
1.56 -9.617716e+01 -2.161095e+01 -1.437081e-01
1.57 -9.458068e+01 -2.120553e+01 -1.413635e-01
1.58 -9.287022e+01 -2.075559e+01 -1.389721e-01
1.59 -9.101527e+01 -2.016451e+01 -1.365002e-01
1.6 -8.917997e+01 -1.967710e+01 -1.339825e-01
1.61 -8.724002e+01 -1.907072e+01 -1.313786e-01
1.62 -8.554299e+01 -1.868922e+01 -1.288645e-01
1.63 -8.358924e+01 -1.806055e+01 -1.263125e-01
1.64 -8.180217e+01 -1.761312e+01 -1.237592e-01
1.65 -7.991975e+01 -1.707515e+01 -1.211755e-01
1.66 -7.815927e+01 -1.666344e+01 -1.186092e-01
1.67 -7.626320e+01 -1.609490e+01 -1.160009e-01
1.68 -7.453337e+01 -1.573484e+01 -1.134099e-01
1.69 -7.305490e+01 -1.550794e+01 -1.109028e-01
1.7 -7.103217e+01 -1.491532e+01 -1.082538e-01
1.71 -6.905241e+01 -1.442168e+01 -1.056123e-01
1.72 -6.737394e+01 -1.398140e+01 -1.029864e-01
1.73 -6.559380e+01 -1.360839e+01 -1.003796e-01
1.74 -6.388074e+01 -1.316100e+01 -9.775017e-02
1.75 -6.205465e+01 -1.279501e+01 -9.510689e-02
1.76 -6.024092e+01 -1.235214e+01 -9.245781e-02
1.77 -5.847784e+01 -1.198782e+01 -8.979694e-02
1.78 -5.671097e+01 -1.159298e+01 -8.715771e-02
1.79 -5.500802e+01 -1.124738e+01 -8.453633e-02
1.8 -5.318154e+01 -1.096859e+01 -8.195202e-02
1.81 -5.143379e+01 -1.057577e+01 -7.934184e-02
1.82 -4.942199e+01 -1.027556e+01 -7.673044e-02
1.83 -4.845732e+01 -9.996540e+00 -7.416824e-02
1.84 -4.654432e+01 -9.693093e+00 -7.160865e-02
1.85 -4.499708e+01 -9.424847e+00 -6.905111e-02
1.86 -4.340877e+01 -9.170608e+00 -6.648560e-02
1.87 -4.191702e+01 -9.035933e+00 -6.399817e-02
1.88 -4.037470e+01 -8.737423e+00 -6.147173e-02
1.89 -3.878811e+01 -8.415694e+00 -5.891346e-02
1.9 -3.718519e+01 -8.209321e+00 -5.641126e-02
1.91 -3.572732e+01 -7.948589e+00 -5.391853e-02
1.92 -3.427983e+01 -7.753540e+00 -5.142024e-02
1.93 -3.274062e+01 -7.507898e+00 -4.892562e-02
1.94 -3.136029e+01 -7.384651e+00 -4.648454e-02
1.95 -3.004333e+01 -7.156383e+00 -4.402795e-02
1.96 -2.857030e+01 -6.943383e+00 -4.156399e-02
1.97 -2.724460e+01 -6.797412e+00 -3.913395e-02
1.98 -2.593621e+01 -6.730103e+00 -3.673969e-02
1.99 -2.361364e+01 -6.036442e+00 -3.412887e-02
2 -2.244763e+01 -6.187996e+00 -3.179687e-02
2.01 -2.111809e+01 -6.048143e+00 -2.943907e-02
2.02 -2.065548e+01 -5.957841e+00 -2.702478e-02
2.03 -1.808419e+01 -5.861247e+00 -2.463686e-02
2.04 -1.743691e+01 -5.801550e+00 -2.230406e-02
2.05 -1.704010e+01 -5.851824e+00 -2.022266e-02
2.06 -1.499904e+01 -5.691643e+00 -1.786774e-02
2.07 -1.407914e+01 -5.629979e+00 -1.553934e-02
2.08 -1.266760e+01 -5.573941e+00 -1.324591e-02
2.09 -1.169556e+01 -5.522214e+00 -1.096954e-02
2.1 -1.032221e+01 -5.525539e+00 -8.721439e-03
2.11 -8.906607e+00 -5.380295e+00 -6.406742e-03
2.12 -7.303730e+00 -5.500192e+00 -4.148775e-03
2.13 -6.026627e+00 -5.306260e+00 -1.737643e-03
2.14 -4.908815e+00 -5.359461e+00 4.854202e-04
2.15 -4.891032e+00 -5.299977e+00 2.688020e-03
2.16 -3.098488e+00 -5.323810e+00 4.857824e-03
2.17 -1.755694e+00 -5.225980e+00 7.033872e-03
2.18 -3.065254e-01 -5.212415e+00 9.205842e-03
2.19 5.765034e-01 -5.180489e+00 1.136978e-02
2.2 1.695967e+00 -5.216100e+00 1.348832e-02
2.21 3.042170e+00 -5.305191e+00 1.552576e-02
2.22 3.656757e+00 -5.447944e+00 1.751467e-02
2.23 4.725771e+00 -5.251215e+00 1.956482e-02
2.24 6.053202e+00 -5.215255e+00 2.163059e-02
2.25 7.279597e+00 -5.148643e+00 2.367260e-02
2.26 8.438972e+00 -5.133933e+00 2.568861e-02
2.27 9.456644e+00 -5.077119e+00 2.772992e-02
2.28 1.045656e+01 -5.067468e+00 2.970580e-02
2.29 1.135295e+01 -4.989851e+00 3.167180e-02
2.3 1.254471e+01 -4.953618e+00 3.360973e-02
2.31 1.302471e+01 -4.886307e+00 3.553503e-02
2.32 1.446029e+01 -4.876331e+00 3.741730e-02
2.33 1.562127e+01 -4.777822e+00 3.931069e-02
2.34 1.659899e+01 -4.743128e+00 4.115757e-02
2.35 1.762885e+01 -4.630254e+00 4.302017e-02
2.36 1.857866e+01 -4.598566e+00 4.480421e-02
2.37 1.952521e+01 -4.471633e+00 4.658333e-02
2.38 2.042029e+01 -4.407063e+00 4.830282e-02
2.39 2.155589e+01 -4.290474e+00 4.999669e-02
2.4 2.226779e+01 -4.329502e+00 5.158406e-02
2.41 2.328005e+01 -4.160375e+00 5.320558e-02
2.42 2.437191e+01 -4.046244e+00 5.479769e-02
2.43 2.505277e+01 -3.976647e+00 5.633715e-02
2.44 2.582512e+01 -3.837312e+00 5.784359e-02
2.45 2.699064e+01 -3.715922e+00 5.930663e-02
2.46 2.777240e+01 -3.582548e+00 6.072732e-02
2.47 2.862080e+01 -3.439642e+00 6.211581e-02
2.48 2.947582e+01 -3.298878e+00 6.346384e-02
2.49 3.025928e+01 -3.183249e+00 6.475170e-02
2.5 3.095443e+01 -3.126611e+00 6.595877e-02
2.51 3.175455e+01 -2.941771e+00 6.715925e-02
2.52 3.251169e+01 -2.769269e+00 6.831326e-02
2.53 3.260387e+01 -2.698113e+00 6.939047e-02
2.54 3.382510e+01 -2.538638e+00 7.044926e-02
2.55 3.409340e+01 -2.454062e+00 7.145876e-02
2.56 3.500163e+01 -2.318045e+00 7.241888e-02
2.57 3.559918e+01 -2.223838e+00 7.332720e-02
2.58 3.608605e+01 -2.103423e+00 7.419038e-02
2.59 3.673506e+01 -1.991407e+00 7.498920e-02
2.6 3.722500e+01 -1.897623e+00 7.573371e-02
2.61 3.762263e+01 -1.833197e+00 7.641405e-02
2.62 3.800168e+01 -1.752798e+00 7.704626e-02
2.63 3.815815e+01 -1.697325e+00 7.762123e-02
2.64 3.849619e+01 -1.630871e+00 7.814427e-02
2.65 3.879501e+01 -1.556164e+00 7.861395e-02
2.66 3.911067e+01 -1.508464e+00 7.903026e-02
2.67 3.935079e+01 -1.439957e+00 7.939078e-02
2.68 3.960140e+01 -1.390865e+00 7.969891e-02
2.69 3.976752e+01 -1.350114e+00 7.995178e-02
2.7 3.993031e+01 -1.316648e+00 8.014760e-02
2.71 4.019267e+01 -1.211386e+00 8.031299e-02
2.72 4.026439e+01 -1.194365e+00 8.040081e-02
2.73 4.028402e+01 -1.172313e+00 8.043749e-02
2.74 4.027642e+01 -1.160051e+00 8.043163e-02
2.75 4.019103e+01 -1.189706e+00 8.035559e-02
2.76 4.018127e+01 -1.202314e+00 8.023856e-02
2.77 4.012020e+01 -1.220773e+00 8.007166e-02
2.78 4.004317e+01 -1.249006e+00 7.985093e-02
2.79 3.992095e+01 -1.277227e+00 7.958190e-02
2.8 3.978250e+01 -1.324467e+00 7.926164e-02
2.81 3.960280e+01 -1.371418e+00 7.889473e-02
2.82 3.918504e+01 -1.362989e+00 7.847974e-02
2.83 3.907727e+01 -1.478972e+00 7.801351e-02
2.84 3.861405e+01 -1.473781e+00 7.753218e-02
2.85 3.801339e+01 -1.573625e+00 7.698748e-02
2.86 3.765822e+01 -1.636498e+00 7.640469e-02
2.87 3.740509e+01 -1.632532e+00 7.580078e-02
2.88 3.691188e+01 -1.765811e+00 7.511331e-02
2.89 3.647163e+01 -1.842837e+00 7.439145e-02
2.9 3.579716e+01 -2.086365e+00 7.359090e-02
2.91 3.536580e+01 -2.068947e+00 7.282992e-02
2.92 3.512475e+01 -2.116140e+00 7.202501e-02
2.93 3.432737e+01 -2.216392e+00 7.117065e-02
2.94 3.409384e+01 -1.982812e+00 7.039392e-02
2.95 3.313855e+01 -2.773971e+00 6.928644e-02
2.96 3.267323e+01 -2.445363e+00 6.834063e-02
2.97 3.213720e+01 -2.527311e+00 6.740627e-02
2.98 3.148710e+01 -2.674971e+00 6.639890e-02
2.99 3.087675e+01 -2.688302e+00 6.540479e-02
3 3.010941e+01 -3.024052e+00 6.429066e-02
3.01 2.949249e+01 -2.995615e+00 6.321614e-02
3.02 2.882746e+01 -3.107945e+00 6.210500e-02
3.03 2.809144e+01 -3.229573e+00 6.096948e-02
3.04 2.740415e+01 -3.331012e+00 5.983144e-02
3.05 2.618294e+01 -3.881533e+00 5.855167e-02
3.06 2.578831e+01 -3.731478e+00 5.745365e-02
3.07 2.510571e+01 -3.811475e+00 5.630649e-02
3.08 2.438823e+01 -3.892381e+00 5.507377e-02
3.09 2.362868e+01 -3.995345e+00 5.382457e-02
3.1 2.292549e+01 -4.067004e+00 5.258741e-02
3.11 2.212292e+01 -4.205985e+00 5.132615e-02
3.12 2.131751e+01 -4.273930e+00 5.006789e-02
3.13 2.081827e+01 -4.223041e+00 4.883558e-02
3.14 1.996692e+01 -4.439975e+00 4.755087e-02
3.15 1.917121e+01 -4.562783e+00 4.624516e-02
3.16 1.818369e+01 -4.626501e+00 4.495876e-02
3.17 1.760848e+01 -4.731181e+00 4.365924e-02
3.18 1.650523e+01 -4.936858e+00 4.233323e-02
3.19 1.607800e+01 -4.966801e+00 4.106016e-02
3.2 1.538578e+01 -5.000412e+00 3.979046e-02
3.21 1.449209e+01 -5.107275e+00 3.845059e-02
3.22 1.379620e+01 -5.156762e+00 3.715324e-02
3.23 1.338026e+01 -5.228859e+00 3.586781e-02
3.24 1.237132e+01 -5.305746e+00 3.459027e-02
3.25 1.190713e+01 -5.369554e+00 3.330110e-02
3.26 1.125339e+01 -5.412008e+00 3.203833e-02
3.27 1.017550e+01 -5.479934e+00 3.077410e-02
3.28 9.461395e+00 -5.543273e+00 2.952045e-02
3.29 8.813091e+00 -5.592843e+00 2.828120e-02
3.3 8.121654e+00 -5.664954e+00 2.704476e-02
3.31 7.525819e+00 -5.718409e+00 2.581871e-02
3.32 6.730673e+00 -5.773804e+00 2.459578e-02
3.33 6.100566e+00 -5.781942e+00 2.342725e-02
3.34 5.510656e+00 -5.826814e+00 2.226201e-02
3.35 4.883209e+00 -5.879000e+00 2.109720e-02
3.36 4.208643e+00 -5.947413e+00 2.001997e-02
3.37 3.493207e+00 -5.984818e+00 1.883034e-02
3.38 2.883382e+00 -6.067841e+00 1.765763e-02
3.39 2.323936e+00 -6.039827e+00 1.657035e-02
3.4 1.880271e+00 -6.074679e+00 1.551781e-02
3.41 1.539888e+00 -6.111750e+00 1.444032e-02
3.42 1.026634e+00 -6.137318e+00 1.337972e-02
3.43 5.184458e-01 -6.163822e+00 1.236908e-02
3.44 5.512664e-03 -6.187587e+00 1.137445e-02
3.45 -9.428389e-01 -6.185864e+00 1.038842e-02
3.46 -1.259552e+00 -6.213455e+00 9.421129e-03
3.47 -1.970978e+00 -6.206157e+00 8.486170e-03
3.48 -2.441469e+00 -6.247442e+00 7.547696e-03
3.49 -2.977441e+00 -6.237187e+00 6.639013e-03
3.5 -3.452847e+00 -6.272471e+00 5.745944e-03
3.51 -3.897635e+00 -6.255284e+00 4.883193e-03
3.52 -4.371529e+00 -6.308561e+00 4.021207e-03
3.53 -4.773829e+00 -6.278443e+00 3.208161e-03
3.54 -5.083866e+00 -6.284844e+00 2.420306e-03
3.55 -5.596744e+00 -6.293116e+00 1.614485e-03
3.56 -5.894944e+00 -6.331139e+00 8.054697e-04
3.57 -6.295831e+00 -6.320223e+00 5.030458e-05
3.58 -6.096953e+00 -6.355932e+00 -7.008247e-04
3.59 -6.628367e+00 -6.346961e+00 -1.435261e-03
3.6 -7.568403e+00 -6.327172e+00 -2.157983e-03
3.61 -7.919196e+00 -6.347120e+00 -2.856581e-03
3.62 -8.184088e+00 -6.305032e+00 -3.447634e-03
3.63 -8.593161e+00 -6.375191e+00 -4.110408e-03
3.64 -8.876181e+00 -6.333998e+00 -4.738631e-03
3.65 -9.141060e+00 -6.368162e+00 -5.363219e-03
3.66 -9.500152e+00 -6.336095e+00 -5.951643e-03
3.67 -9.596330e+00 -6.371854e+00 -6.538882e-03
3.68 -1.009017e+01 -6.340018e+00 -7.089968e-03
3.69 -1.034364e+01 -6.380391e+00 -7.644376e-03
3.7 -1.057134e+01 -6.352945e+00 -8.167703e-03
3.71 -1.086728e+01 -6.401973e+00 -8.685175e-03
3.72 -1.096464e+01 -6.353193e+00 -9.155236e-03
3.73 -1.118666e+01 -6.377234e+00 -9.614735e-03
3.74 -1.128729e+01 -6.357728e+00 -1.004827e-02
3.75 -1.162164e+01 -6.369319e+00 -1.046474e-02
3.76 -1.193152e+01 -6.392623e+00 -1.085684e-02
3.77 -1.214724e+01 -6.400643e+00 -1.124055e-02
3.78 -1.234537e+01 -6.384851e+00 -1.159000e-02
3.79 -1.244736e+01 -6.380432e+00 -1.191908e-02
3.8 -1.266222e+01 -6.382883e+00 -1.223133e-02
3.81 -1.281272e+01 -6.363495e+00 -1.251700e-02
3.82 -1.292638e+01 -6.371688e+00 -1.279111e-02
3.83 -1.308625e+01 -6.356350e+00 -1.303709e-02
3.84 -1.315401e+01 -6.364983e+00 -1.326604e-02
3.85 -1.330323e+01 -6.349903e+00 -1.347178e-02
3.86 -1.338099e+01 -6.360670e+00 -1.366451e-02
3.87 -1.345193e+01 -6.343471e+00 -1.383123e-02
3.88 -1.353253e+01 -6.348570e+00 -1.397986e-02
3.89 -1.357077e+01 -6.325132e+00 -1.409942e-02
3.9 -1.366547e+01 -6.358122e+00 -1.421626e-02
3.91 -1.373099e+01 -6.339961e+00 -1.433882e-02
3.92 -1.377211e+01 -6.351876e+00 -1.442207e-02
3.93 -1.375058e+01 -6.306470e+00 -1.445449e-02
3.94 -1.375780e+01 -6.311519e+00 -1.447833e-02
3.95 -1.374586e+01 -6.289971e+00 -1.448789e-02
3.96 -1.375189e+01 -6.322798e+00 -1.447766e-02
3.97 -1.369292e+01 -6.274433e+00 -1.442790e-02
3.98 -1.369283e+01 -6.267472e+00 -1.437024e-02
3.99 -1.358601e+01 -6.248421e+00 -1.428250e-02
4 -1.356278e+01 -6.260712e+00 -1.421990e-02
4.01 -1.351359e+01 -6.253003e+00 -1.411854e-02
4.02 -1.343324e+01 -6.244698e+00 -1.398971e-02
4.03 -1.334570e+01 -6.236130e+00 -1.384573e-02
4.04 -1.326649e+01 -6.226781e+00 -1.368649e-02
4.05 -1.313892e+01 -6.206873e+00 -1.350538e-02
4.06 -1.326927e+01 -6.439453e+00 -1.340885e-02
4.07 -1.305184e+01 -6.270803e+00 -1.313280e-02
4.08 -1.282627e+01 -6.217188e+00 -1.285883e-02
4.09 -1.280849e+01 -6.232931e+00 -1.263164e-02
4.1 -1.244744e+01 -6.108802e+00 -1.237985e-02
4.11 -1.234645e+01 -6.107998e+00 -1.210379e-02
4.12 -1.220607e+01 -6.085262e+00 -1.180105e-02
4.13 -1.199049e+01 -6.067036e+00 -1.148419e-02
4.14 -1.231924e+01 -6.083665e+00 -1.115903e-02
4.15 -1.229909e+01 -6.053082e+00 -1.080868e-02
4.16 -1.191137e+01 -6.049165e+00 -1.045168e-02
4.17 -1.207331e+01 -6.023332e+00 -1.007883e-02
4.18 -1.176823e+01 -6.005120e+00 -9.703567e-03
4.19 -1.078442e+01 -5.994750e+00 -9.309185e-03
4.2 -1.151535e+01 -5.961321e+00 -8.892546e-03
4.21 -1.185091e+01 -5.956336e+00 -8.469222e-03
4.22 -1.105103e+01 -5.925380e+00 -8.028634e-03
4.23 -1.237593e+01 -5.908717e+00 -7.560785e-03
4.24 -1.074462e+01 -5.971792e+00 -7.124574e-03
4.25 -9.144786e+00 -5.930128e+00 -6.652240e-03
4.26 -9.379593e+00 -5.911084e+00 -6.180244e-03
4.27 -8.715589e+00 -5.871279e+00 -5.702384e-03
4.28 -8.650653e+00 -5.893358e+00 -5.229176e-03
4.29 -8.183807e+00 -5.852649e+00 -4.734655e-03
4.3 -8.134696e+00 -5.921328e+00 -4.257379e-03
4.31 -7.706039e+00 -5.822520e+00 -3.737144e-03
4.32 -7.523250e+00 -5.863234e+00 -3.234993e-03
4.33 -7.148741e+00 -5.829575e+00 -2.713727e-03
4.34 -7.470189e+00 -5.834403e+00 -2.199243e-03
4.35 -7.338370e+00 -5.806133e+00 -1.668187e-03
4.36 -6.969038e+00 -5.820820e+00 -1.137489e-03
4.37 -6.851966e+00 -5.788736e+00 -5.909054e-04
4.38 -6.445178e+00 -5.818771e+00 -5.318175e-05
4.39 -5.629871e+00 -5.797784e+00 4.902545e-04
4.4 -5.609889e+00 -5.764043e+00 1.042631e-03
4.41 -5.029077e+00 -5.768112e+00 1.597005e-03
4.42 -5.058862e+00 -5.795927e+00 2.143726e-03
4.43 -4.492586e+00 -5.764013e+00 2.705160e-03
4.44 -4.506428e+00 -5.791542e+00 3.258360e-03
4.45 -3.800824e+00 -5.778975e+00 3.801032e-03
4.46 -3.778074e+00 -5.854839e+00 4.326694e-03
4.47 -3.872043e+00 -5.765277e+00 4.886276e-03
4.48 -3.224846e+00 -5.779475e+00 5.427983e-03
4.49 -3.439277e+00 -5.784121e+00 5.953252e-03
4.5 -2.866874e+00 -5.785662e+00 6.493235e-03
4.51 -3.504399e+00 -5.976765e+00 6.967129e-03
4.52 -2.896294e+00 -5.749107e+00 7.517829e-03
4.53 -2.366576e+00 -5.699763e+00 8.064631e-03
4.54 -3.394688e+00 -5.658324e+00 8.607656e-03
